user_id,total_questions,total_correct_solutions,number_algebra_mistakes,number_trigonometry_mistakes,number_reading_mistakes,number_working_with_formulas_mistakes,course_recommend
113,24,1,0,5,18,3,"Курс по олимпиадной геометрии, Курс по улучшению внимательности"
114,41,30,0,0,10,7,"Курс по улучшению внимательности, Курс по логическому мышлению и математике для начинающих"
115,17,17,0,0,0,0,Sleep and recover more. You are best!
116,17,2,0,17,0,3,Курс по тригонометрии
117,8,5,0,1,4,0,"Курс по олимпиадной геометрии, Курс по улучшению внимательности"
118,27,16,8,3,6,2,"Курс по олимпиадной геометрии, Курс по улучшению внимательности, Курс по алгебре"
119,7,6,0,0,0,1,Курс по логическому мышлению и математике для начинающих
120,50,24,28,2,5,2,Курс по алгебре
121,18,3,3,1,9,1,Курс по улучшению внимательности
122,31,7,0,30,3,2,Курс по тригонометрии
123,9,9,0,0,0,0,Sleep and recover more. You are best!
124,38,26,5,0,17,3,Курс по улучшению внимательности
125,34,34,0,0,0,0,Курс по олимпиадной геометрии
126,19,0,10,4,5,10,"Курс по алгебре, Курс по логическому мышлению и математике для начинающих"
127,39,6,0,0,5,29,Курс по логическому мышлению и математике для начинающих
128,22,2,3,29,2,8,Курс по тригонометрии
129,4,4,0,0,0,0,Sleep and recover more. You are best!
130,6,4,2,1,0,0,Sleep and recover more. You are best!
131,20,1,0,15,2,9,"Курс по тригонометрии, Курс по логическому мышлению и математике для начинающих"
132,28,27,0,0,1,0,Sleep and recover more. You are best!
133,15,14,0,1,0,0,Sleep and recover more. You are best!
134,34,8,5,43,3,1,Курс по тригонометрии
135,24,23,0,0,1,0,Sleep and recover more. You are best!
136,49,31,2,4,8,16,"Курс по олимпиадной алгебре, Курс по улучшению внимательности, Курс по логическому мышлению и математике для начинающих"
137,13,5,0,13,0,1,Курс по тригонометрии
138,1,1,0,0,0,0,Sleep and recover more. You are best!
139,33,16,1,0,22,0,Курс по улучшению внимательности
140,17,11,0,1,3,3,"Курс по олимпиадной геометрии, Курс по улучшению внимательности, Курс по логическому мышлению и математике для начинающих"
141,25,0,12,13,2,17,"Курс по тригонометрии, Курс по логическому мышлению и математике для начинающих"
142,47,13,23,9,16,23,"Курс по олимпиадной геометрии, Курс по улучшению внимательности, Курс по алгебре, Курс по логическому мышлению и математике для начинающих"
143,35,28,2,2,1,5,"Курс по олимпиадной геометрии, Курс по логическому мышлению и математике для начинающих"
144,17,0,1,0,11,1,Курс по улучшению внимательности
145,6,0,1,3,5,2,"Курс по олимпиадной геометрии, Курс по улучшению внимательности"
146,32,28,0,1,1,2,"Курс по олимпиадной геометрии, Курс по логическому мышлению и математике для начинающих"
147,42,13,11,31,6,0,Курс по тригонометрии
148,44,4,10,3,13,22,"Курс по улучшению внимательности, Курс по логическому мышлению и математике для начинающих"
149,48,24,0,0,0,23,Курс по логическому мышлению и математике для начинающих
150,29,16,8,7,2,3,"Курс по тригонометрии, Курс по алгебре"
151,17,6,0,1,9,0,"Курс по олимпиадной геометрии, Курс по улучшению внимательности"
152,6,2,0,5,0,0,Курс по тригонометрии
153,9,5,1,2,0,3,Курс по логическому мышлению и математике для начинающих
154,47,39,0,2,10,3,Курс по улучшению внимательности
155,7,0,0,1,2,4,Курс по логическому мышлению и математике для начинающих
156,4,2,1,1,0,1,"Курс по олимпиадной геометрии, Курс по логическому мышлению и математике для начинающих"
157,5,5,0,0,0,0,Sleep and recover more. You are best!
158,42,37,5,0,2,3,"Курс по улучшению внимательности, Курс по логическому мышлению и математике для начинающих"
159,42,18,8,13,2,1,Курс по тригонометрии
160,42,15,5,0,32,8,Курс по улучшению внимательности
161,33,18,2,20,9,0,"Курс по тригонометрии, Курс по улучшению внимательности"
162,17,4,0,22,2,1,Курс по тригонометрии
163,11,11,0,0,0,0,Курс по олимпиадной алгебре
164,13,5,7,3,1,2,Курс по алгебре
165,42,20,18,18,1,7,"Курс по тригонометрии, Курс по алгебре"
166,13,6,0,7,2,3,"Курс по тригонометрии, Курс по логическому мышлению и математике для начинающих"
167,23,13,0,10,1,1,Курс по тригонометрии
168,28,11,2,2,4,25,Курс по логическому мышлению и математике для начинающих
169,9,0,2,2,3,1,"Курс по олимпиадной геометрии, Курс по улучшению внимательности"
170,44,23,2,10,7,12,"Курс по улучшению внимательности, Курс по логическому мышлению и математике для начинающих"
171,35,3,0,14,9,27,"Курс по олимпиадной геометрии, Курс по логическому мышлению и математике для начинающих"
172,4,3,0,1,0,0,Курс по тригонометрии
173,38,35,2,0,0,0,Sleep and recover more. You are best!
174,23,16,3,1,0,1,"Курс по олимпиадной алгебре, Курс по олимпиадной геометрии"
175,40,1,0,1,24,42,"Курс по улучшению внимательности, Курс по логическому мышлению и математике для начинающих"
176,9,9,0,0,0,0,Sleep and recover more. You are best!
177,7,4,1,1,3,0,Курс по улучшению внимательности
178,43,3,12,7,6,20,Курс по логическому мышлению и математике для начинающих
179,12,9,2,0,3,0,Курс по улучшению внимательности
180,42,3,31,2,7,22,"Курс по олимпиадной геометрии, Курс по алгебре, Курс по логическому мышлению и математике для начинающих"
181,29,13,2,4,1,6,Sleep and recover more. You are best!
182,15,1,13,2,4,1,Курс по алгебре
183,32,31,0,0,1,0,Курс по олимпиадной геометрии
184,32,22,2,0,10,3,Курс по улучшению внимательности
185,38,7,53,1,1,5,Курс по алгебре
186,36,31,0,0,7,0,Курс по улучшению внимательности
187,19,2,9,8,2,0,"Курс по олимпиадной геометрии, Курс по алгебре"
188,4,0,0,1,4,2,"Курс по олимпиадной геометрии, Курс по улучшению внимательности, Курс по логическому мышлению и математике для начинающих"
189,18,9,0,8,1,5,"Курс по тригонометрии, Курс по логическому мышлению и математике для начинающих"
190,22,8,1,14,8,1,"Курс по тригонометрии, Курс по улучшению внимательности"
191,27,0,2,14,0,7,Курс по тригонометрии
192,5,5,0,0,0,0,Sleep and recover more. You are best!
193,11,5,2,3,1,5,"Курс по олимпиадной геометрии, Курс по логическому мышлению и математике для начинающих"
194,6,4,1,0,0,2,Курс по логическому мышлению и математике для начинающих
195,11,1,0,10,3,0,Курс по тригонометрии
196,14,6,7,0,0,2,Курс по алгебре
197,2,0,0,3,0,0,Курс по тригонометрии
198,49,39,2,5,0,14,Курс по логическому мышлению и математике для начинающих
199,31,12,4,4,27,1,Курс по улучшению внимательности
200,26,7,1,1,14,1,"Курс по олимпиадной геометрии, Курс по улучшению внимательности"
201,8,1,8,0,0,0,Курс по алгебре
202,10,3,1,10,2,0,Курс по тригонометрии
203,10,6,2,1,5,0,"Курс по олимпиадной алгебре, Курс по олимпиадной геометрии, Курс по улучшению внимательности"
204,15,5,4,0,4,0,Курс по улучшению внимательности
205,11,8,0,2,1,0,"Курс по тригонометрии, Курс по улучшению внимательности"
206,20,0,0,0,17,0,Курс по улучшению внимательности
207,49,2,2,46,6,44,"Курс по тригонометрии, Курс по логическому мышлению и математике для начинающих"
208,23,7,7,7,6,9,"Курс по олимпиадной геометрии, Курс по улучшению внимательности, Курс по логическому мышлению и математике для начинающих"
209,8,8,0,0,0,0,Sleep and recover more. You are best!
210,30,5,38,14,1,1,"Курс по тригонометрии, Курс по алгебре"
211,9,9,0,0,0,0,Sleep and recover more. You are best!
212,41,39,0,0,1,0,Sleep and recover more. You are best!
213,18,15,0,3,0,0,Курс по тригонометрии
214,4,0,0,0,2,5,"Курс по улучшению внимательности, Курс по логическому мышлению и математике для начинающих"
215,35,8,10,21,10,11,"Курс по тригонометрии, Курс по улучшению внимательности, Курс по логическому мышлению и математике для начинающих"
216,27,6,6,3,0,12,"Курс по олимпиадной геометрии, Курс по логическому мышлению и математике для начинающих"
217,2,1,0,0,1,0,Курс по улучшению внимательности
218,23,4,1,3,16,10,"Курс по олимпиадной геометрии, Курс по улучшению внимательности, Курс по логическому мышлению и математике для начинающих"
219,49,4,45,32,2,0,"Курс по тригонометрии, Курс по алгебре"
220,16,2,4,3,3,10,Курс по логическому мышлению и математике для начинающих
221,21,5,1,5,1,5,Курс по олимпиадной геометрии
222,25,11,19,0,0,0,Курс по алгебре
223,35,29,1,5,0,4,"Курс по олимпиадной алгебре, Курс по тригонометрии, Курс по логическому мышлению и математике для начинающих"
224,44,10,2,4,3,47,"Курс по олимпиадной геометрии, Курс по логическому мышлению и математике для начинающих"
225,47,27,0,38,0,1,Курс по тригонометрии
226,25,23,0,1,0,1,Sleep and recover more. You are best!
227,11,8,1,0,0,2,"Курс по олимпиадной алгебре, Курс по логическому мышлению и математике для начинающих"
228,15,1,5,2,2,6,Курс по логическому мышлению и математике для начинающих
229,26,23,1,1,0,3,Курс по логическому мышлению и математике для начинающих
230,38,4,19,8,10,9,Курс по алгебре
231,11,2,0,0,12,1,Курс по улучшению внимательности
232,35,22,1,4,15,1,"Курс по олимпиадной алгебре, Курс по улучшению внимательности"
233,30,11,0,19,0,4,Курс по тригонометрии
234,29,22,0,1,1,6,"Курс по олимпиадной геометрии, Курс по логическому мышлению и математике для начинающих"
235,18,10,5,5,1,1,"Курс по тригонометрии, Курс по алгебре"
236,28,10,3,4,0,22,"Курс по олимпиадной геометрии, Курс по логическому мышлению и математике для начинающих"
237,31,6,3,9,12,1,Курс по улучшению внимательности
238,49,1,6,1,14,63,Курс по логическому мышлению и математике для начинающих
239,12,10,0,0,4,0,Курс по улучшению внимательности
240,33,33,0,0,0,0,Sleep and recover more. You are best!
241,10,10,0,0,0,0,Sleep and recover more. You are best!
242,48,5,15,57,4,16,Курс по тригонометрии
243,10,10,0,0,0,0,Sleep and recover more. You are best!
244,7,5,1,1,0,0,Курс по олимпиадной алгебре
245,45,42,0,0,5,0,Sleep and recover more. You are best!
246,8,3,0,0,3,1,Курс по улучшению внимательности
247,8,3,0,1,1,2,Курс по олимпиадной геометрии
248,14,10,1,5,0,1,"Курс по олимпиадной алгебре, Курс по тригонометрии"
249,15,0,7,4,1,2,Sleep and recover more. You are best!
250,46,29,12,0,0,9,Курс по логическому мышлению и математике для начинающих
251,42,13,2,25,2,0,Курс по тригонометрии
252,49,25,2,21,3,22,"Курс по тригонометрии, Курс по логическому мышлению и математике для начинающих"
253,4,3,0,0,1,1,"Курс по улучшению внимательности, Курс по логическому мышлению и математике для начинающих"
254,30,30,0,0,0,0,Sleep and recover more. You are best!
255,18,13,0,0,6,0,Курс по улучшению внимательности
256,42,32,1,4,5,0,"Курс по олимпиадной геометрии, Курс по улучшению внимательности"
257,24,23,0,0,0,1,Sleep and recover more. You are best!
258,31,6,4,2,9,34,"Курс по улучшению внимательности, Курс по логическому мышлению и математике для начинающих"
259,5,1,1,1,0,1,Sleep and recover more. You are best!
260,17,2,0,0,0,18,Курс по логическому мышлению и математике для начинающих
261,12,12,0,0,0,0,Курс по олимпиадной алгебре
262,44,15,2,24,14,19,"Курс по тригонометрии, Курс по улучшению внимательности, Курс по логическому мышлению и математике для начинающих"
263,44,27,0,24,1,0,Курс по тригонометрии
264,34,17,2,4,3,10,"Курс по олимпиадной геометрии, Курс по логическому мышлению и математике для начинающих"
265,4,4,0,0,0,0,Sleep and recover more. You are best!
266,47,20,41,3,2,0,Курс по алгебре
267,40,13,0,18,0,6,Курс по тригонометрии
268,42,11,34,5,3,25,"Курс по алгебре, Курс по логическому мышлению и математике для начинающих"
269,4,4,0,0,0,0,Sleep and recover more. You are best!
270,42,1,17,4,23,40,"Курс по улучшению внимательности, Курс по логическому мышлению и математике для начинающих"
271,30,15,0,9,10,10,"Курс по тригонометрии, Курс по улучшению внимательности, Курс по логическому мышлению и математике для начинающих"
272,11,1,2,10,0,0,Курс по тригонометрии
273,9,2,1,0,0,6,Курс по логическому мышлению и математике для начинающих
274,15,13,1,0,1,1,"Курс по олимпиадной алгебре, Курс по улучшению внимательности, Курс по логическому мышлению и математике для начинающих"
275,28,0,0,29,1,28,"Курс по тригонометрии, Курс по логическому мышлению и математике для начинающих"
276,16,15,0,0,0,1,Sleep and recover more. You are best!
277,27,18,19,0,0,0,Sleep and recover more. You are best!
278,35,34,1,0,0,0,Курс по олимпиадной алгебре
279,10,3,6,0,8,0,"Курс по улучшению внимательности, Курс по алгебре"
280,38,25,4,4,2,3,Sleep and recover more. You are best!
281,23,20,0,4,1,0,"Курс по тригонометрии, Курс по улучшению внимательности"
282,3,0,0,0,2,2,"Курс по улучшению внимательности, Курс по логическому мышлению и математике для начинающих"
283,20,3,1,7,4,23,Курс по логическому мышлению и математике для начинающих
284,36,18,12,6,3,6,"Курс по олимпиадной геометрии, Курс по алгебре"
285,6,2,3,0,2,2,"Курс по улучшению внимательности, Курс по алгебре, Курс по логическому мышлению и математике для начинающих"
286,18,11,2,4,0,0,Курс по тригонометрии
287,38,29,0,0,0,12,Курс по логическому мышлению и математике для начинающих
288,29,27,1,0,0,0,Sleep and recover more. You are best!
289,38,19,10,4,7,20,"Курс по улучшению внимательности, Курс по алгебре, Курс по логическому мышлению и математике для начинающих"
290,37,5,0,38,14,2,"Курс по тригонометрии, Курс по улучшению внимательности"
291,32,20,1,1,2,6,Курс по логическому мышлению и математике для начинающих
292,46,12,2,51,6,1,Курс по тригонометрии
293,29,26,1,2,2,0,"Курс по тригонометрии, Курс по улучшению внимательности"
294,48,43,0,0,5,0,Курс по улучшению внимательности
295,1,0,0,1,0,0,Курс по тригонометрии
296,35,5,0,20,4,6,Курс по тригонометрии
297,39,9,16,3,0,8,"Курс по олимпиадной геометрии, Курс по алгебре"
298,12,0,5,0,2,6,Курс по логическому мышлению и математике для начинающих
299,22,8,11,0,8,3,"Курс по улучшению внимательности, Курс по алгебре"
300,35,11,1,5,23,20,"Курс по олимпиадной геометрии, Курс по улучшению внимательности, Курс по логическому мышлению и математике для начинающих"
301,24,20,0,1,3,1,"Курс по олимпиадной геометрии, Курс по улучшению внимательности"
302,11,7,0,1,4,0,"Курс по олимпиадной геометрии, Курс по улучшению внимательности"
303,12,5,2,3,4,0,Курс по улучшению внимательности
304,9,7,1,0,0,0,Sleep and recover more. You are best!
305,29,29,0,0,0,0,Sleep and recover more. You are best!
306,14,6,1,6,0,3,Курс по тригонометрии
307,10,3,0,0,11,2,Курс по улучшению внимательности
308,36,25,7,3,1,11,Курс по логическому мышлению и математике для начинающих
309,15,13,2,0,1,1,"Курс по улучшению внимательности, Курс по логическому мышлению и математике для начинающих"
310,24,19,1,1,0,7,Курс по логическому мышлению и математике для начинающих
311,50,46,3,0,0,0,Sleep and recover more. You are best!
312,25,18,2,3,4,3,"Курс по олимпиадной алгебре, Курс по олимпиадной геометрии, Курс по улучшению внимательности, Курс по логическому мышлению и математике для начинающих"
313,34,6,44,5,8,1,"Курс по олимпиадной геометрии, Курс по алгебре"
314,40,6,24,10,0,20,"Курс по олимпиадной геометрии, Курс по алгебре, Курс по логическому мышлению и математике для начинающих"
315,50,45,0,0,4,1,Sleep and recover more. You are best!
316,10,5,2,1,2,4,"Курс по улучшению внимательности, Курс по логическому мышлению и математике для начинающих"
317,23,18,1,3,0,5,"Курс по олимпиадной алгебре, Курс по тригонометрии, Курс по логическому мышлению и математике для начинающих"
318,39,1,10,47,2,24,"Курс по тригонометрии, Курс по логическому мышлению и математике для начинающих"
319,46,20,3,5,7,24,Курс по логическому мышлению и математике для начинающих
320,44,6,23,3,18,15,"Курс по улучшению внимательности, Курс по алгебре"
321,16,5,0,13,2,3,Курс по тригонометрии
322,33,17,0,2,0,18,"Курс по олимпиадной геометрии, Курс по логическому мышлению и математике для начинающих"
323,29,6,10,1,4,27,Курс по логическому мышлению и математике для начинающих
324,15,3,4,12,1,0,Курс по тригонометрии
325,30,24,1,0,4,0,"Курс по олимпиадной алгебре, Курс по улучшению внимательности"
326,32,11,24,0,0,5,Курс по алгебре
327,1,1,0,0,0,0,Sleep and recover more. You are best!
328,48,29,8,17,1,1,"Курс по олимпиадной алгебре, Курс по тригонометрии"
329,12,0,3,2,6,2,Курс по улучшению внимательности
330,48,35,0,9,4,0,"Курс по тригонометрии, Курс по улучшению внимательности"
331,24,15,2,7,4,0,"Курс по олимпиадной алгебре, Курс по тригонометрии, Курс по улучшению внимательности"
332,4,4,0,0,0,0,Sleep and recover more. You are best!
333,50,24,3,1,1,42,Курс по логическому мышлению и математике для начинающих
334,33,32,0,0,0,1,Sleep and recover more. You are best!
335,49,24,6,1,23,1,Курс по улучшению внимательности
336,45,34,4,1,3,12,"Курс по олимпиадной алгебре, Курс по олимпиадной геометрии, Курс по логическому мышлению и математике для начинающих"
337,33,20,0,17,0,0,Курс по тригонометрии
338,36,3,7,18,4,8,Курс по тригонометрии
339,30,16,14,3,8,3,"Курс по улучшению внимательности, Курс по алгебре"
340,19,12,1,1,6,0,"Курс по олимпиадной алгебре, Курс по улучшению внимательности"
341,9,3,3,0,2,2,Курс по улучшению внимательности
342,46,1,47,0,0,4,Курс по алгебре
343,38,13,18,1,2,3,Курс по алгебре
344,46,0,1,51,7,16,Курс по тригонометрии
345,34,1,1,16,39,8,Курс по улучшению внимательности
346,18,2,1,9,1,16,"Курс по тригонометрии, Курс по логическому мышлению и математике для начинающих"
347,50,2,24,17,32,0,"Курс по олимпиадной геометрии, Курс по улучшению внимательности"
348,39,20,6,4,12,16,"Курс по улучшению внимательности, Курс по логическому мышлению и математике для начинающих"
349,9,8,0,0,1,0,Курс по улучшению внимательности
350,49,6,12,22,20,1,"Курс по тригонометрии, Курс по улучшению внимательности"
351,26,26,0,0,0,0,Sleep and recover more. You are best!
352,13,12,0,0,0,1,Sleep and recover more. You are best!
353,11,11,0,0,0,0,Sleep and recover more. You are best!
354,36,12,12,0,2,13,Курс по логическому мышлению и математике для начинающих
355,45,29,8,9,5,11,"Курс по олимпиадной алгебре, Курс по тригонометрии, Курс по улучшению внимательности, Курс по логическому мышлению и математике для начинающих"
356,4,1,1,0,4,0,Курс по улучшению внимательности
357,12,12,0,0,0,0,Sleep and recover more. You are best!
358,40,34,0,2,2,6,"Курс по улучшению внимательности, Курс по логическому мышлению и математике для начинающих"
359,19,7,9,5,7,3,"Курс по олимпиадной геометрии, Курс по улучшению внимательности, Курс по алгебре"
360,5,2,0,2,0,0,Курс по тригонометрии
361,10,5,1,4,0,0,Курс по тригонометрии
362,10,6,1,0,2,1,Курс по улучшению внимательности
363,29,4,12,1,10,25,"Курс по улучшению внимательности, Курс по логическому мышлению и математике для начинающих"
364,8,1,1,9,0,0,Курс по тригонометрии
365,17,10,1,5,0,0,Курс по тригонометрии
366,19,6,0,1,0,19,"Курс по олимпиадной геометрии, Курс по логическому мышлению и математике для начинающих"
367,33,17,0,6,0,12,"Курс по олимпиадной геометрии, Курс по логическому мышлению и математике для начинающих"
368,18,5,3,0,10,2,Курс по улучшению внимательности
369,23,20,0,1,2,2,"Курс по олимпиадной геометрии, Курс по улучшению внимательности, Курс по логическому мышлению и математике для начинающих"
370,35,21,12,7,2,3,Курс по олимпиадной геометрии
371,26,5,4,9,8,3,"Курс по олимпиадной геометрии, Курс по улучшению внимательности"
372,49,18,0,38,2,19,"Курс по тригонометрии, Курс по логическому мышлению и математике для начинающих"
373,15,5,0,0,2,10,Курс по логическому мышлению и математике для начинающих
374,6,6,0,0,0,0,Курс по олимпиадной алгебре
375,20,0,1,0,0,32,Курс по логическому мышлению и математике для начинающих
376,26,8,2,19,0,6,Курс по тригонометрии
377,50,13,10,37,16,4,"Курс по тригонометрии, Курс по улучшению внимательности"
378,21,14,1,1,6,4,"Курс по олимпиадной геометрии, Курс по улучшению внимательности, Курс по логическому мышлению и математике для начинающих"
379,3,0,0,0,3,0,Курс по улучшению внимательности
380,14,4,6,1,6,0,"Курс по олимпиадной геометрии, Курс по улучшению внимательности, Курс по алгебре"
381,6,5,0,1,0,0,Курс по тригонометрии
382,14,14,0,0,0,0,Sleep and recover more. You are best!
383,19,16,0,1,1,2,"Курс по олимпиадной геометрии, Курс по улучшению внимательности, Курс по логическому мышлению и математике для начинающих"
